statNm,addr,output,statId,chgerId,lat,lng,method,year
열경의료재단허병원,대구광역시 달서구 학산로 121,100,ST601140,03,35.8,128.53,동시,2025
열경의료재단허병원,대구광역시 달서구 학산로 121,100,ST601140,04,35.8,128.53,동시,2025
해바라기주유소(대구),대구 북구 대현로 81,100,ST601225,01,35.8831140,128.6080686,단독,2019
해바라기주유소(대구),대구 북구 대현로 81,100,ST601225,02,35.8831140,128.6080686,단독,2019
수목원주유소,대구 달서구 상화로 99,200,ST601235,01,35.8083978,128.5245634,동시,2019
수목원주유소,대구 달서구 상화로 99,200,ST601235,02,35.8083978,128.5245634,동시,2019
칠곡IC주유소,대구 북구 관음동 1230-2,100,ST601236,01,35.9430067,128.5420158,동시,2019
칠곡IC주유소,대구 북구 관음동 1230-2,100,ST601236,02,35.9430067,128.5420158,동시,2019
맘모스주유소,대구 북구 동북로 21,100,ST601237,01,35.9018020,128.5960810,동시,2019
맘모스주유소,대구 북구 동북로 21,100,ST601237,02,35.9018020,128.5960810,동시,2019
SK에너지(주) 거산,대구 북구 호국로 303,200,ST601240,01,35.9289742,128.5984069,동시,2019
SK에너지(주) 거산,대구 북구 호국로 303,200,ST601240,02,35.9289742,128.5984069,동시,2019
합천주유소,대구 서구 염색공단천로 78,200,ST601259,01,35.8897208,128.5450790,동시,2019
합천주유소,대구 서구 염색공단천로 78,200,ST601259,02,35.8897208,128.5450790,동시,2019
SK에너지 중앙2주유소,대구 수성구 화랑로 138,100,ST601269,01,35.8741152,128.6416429,동시,2019
SK에너지 중앙2주유소,대구 수성구 화랑로 138,100,ST601269,02,35.8741152,128.6416429,동시,2019
현대블루핸즈 동인천서비스,인천광역시 중구 인중로 43,100,ST281102,01,37.4636011,126.6378841,동시,2021
현대블루핸즈 동인천서비스,인천광역시 중구 인중로 43,100,ST281102,02,37.4636011,126.6378841,동시,2021
이마트 동인천점,인천광역시 중구 인중로 134,100,ST281105,01,37.4665583,126.6291257,동시,2022
이마트 동인천점,인천광역시 중구 인중로 134,100,ST281105,02,37.4665583,126.6291257,동시,2022
이마트 동인천점,인천광역시 중구 인중로 134,100,ST281105,03,37.4665583,126.6291257,동시,2022
이마트 동인천점,인천광역시 중구 인중로 134,100,ST281105,04,37.4665583,126.6291257,동시,2022
인천지방조달청,인천광역시 중구 아암대로 90,200,ST281106,01,37.454610356,126.63249418,동시,2023
인천지방조달청,인천광역시 중구 아암대로 90,200,ST281106,02,37.454610356,126.63249418,동시,2023
